Species,Genus,areaIntroduced,areaNative,Num_Introduced,Fixer,numOTUs,numGenera,Specialist,Human_Uses,AbsLatNative,LatNative,ChromosomeCount,PloidyLow,diPloidyLow,sfPloidy,disfPloidy,annual,disfPloidy_corrected,subfamily
Abrus_precatorius,Abrus,148000000000,53400000000000,4,1,NA,1,1,7,9.00301812,9.00301812,22,2,0,2,0,0,0,Papilionoideae
Acacia_acuminata,Acacia,0,3330000000000,0,1,NA,NA,NA,2,28.8181412,-28.8181412,26,2,0,2,0,0,0,Mimosoid
Acacia_alata,Acacia,0,2530000000000,0,1,NA,NA,NA,0,25.46607155,-25.46607155,26,2,0,2,0,0,0,Mimosoid
Acacia_ampliceps,Acacia,0,3880000000000,0,1,NA,NA,NA,0,23.4204532,-23.4204532,26,2,0,2,0,0,0,Mimosoid
Acacia_aulacocarpa,Acacia,0,9340000000000,0,1,NA,NA,NA,1,8.51803986,-8.51803986,26,2,0,2,0,0,0,Mimosoid
Acacia_auriculiformis,Acacia,11200000000000,4090000000000,23,1,NA,1,1,4,5.85860106,-5.85860106,26,2,0,2,0,0,0,Mimosoid
Acacia_baileyana,Acacia,10700000000000,6270000000000,13,1,NA,NA,NA,2,26.80596132,-26.80596132,26,2,0,2,0,0,0,Mimosoid
Acacia_berlandieri,Acacia,0,751000000000,0,1,NA,NA,NA,0,25.31401375,25.31401375,26,2,0,2,0,0,0,Mimosoid
Acacia_bonariensis,Acacia,0,4270000000000,0,0,NA,NA,NA,0,26.94705186,-26.94705186,26,2,0,2,0,0,0,Mimosoid
Acacia_brachybotrya,Acacia,115000000000,2010000000000,1,1,NA,NA,NA,0,31.74043124,-31.74043124,26,2,0,2,0,0,0,Mimosoid
Acacia_caffra,Acacia,189000000000,4050000000000,1,1,NA,NA,NA,0,21.71309195,-21.71309195,26,2,0,2,0,0,0,Mimosoid
Acacia_calamifolia,Acacia,1284364074,2010000000000,1,1,NA,NA,NA,1,31.74043124,-31.74043124,26,2,0,2,0,0,0,Mimosoid
Acacia_cardiophylla,Acacia,268000000000,802000000000,2,1,NA,NA,NA,1,32.17021086,-32.17021086,26,2,0,2,0,0,0,Mimosoid
Acacia_catechu,Acacia,2290000000000,8610000000000,5,1,NA,NA,NA,4,22.36270805,22.36270805,26,2,0,2,0,0,0,Mimosoid
Acacia_caven,Acacia,0,5010000000000,0,1,NA,NA,NA,0,27.21964295,-27.21964295,26,2,0,2,0,0,0,Mimosoid
Acacia_cincinnata,Acacia,0,1730000000000,0,1,NA,NA,NA,1,22.57378083,-22.57378083,26,2,0,2,0,0,0,Mimosoid
Acacia_colei,Acacia,0,5610000000000,0,1,NA,NA,NA,3,23.16077529,-23.16077529,52,4,1,4,1,0,1,Mimosoid
Acacia_confusa,Acacia,3580000000000,1250000000000,13,1,NA,NA,NA,3,21.89229771,21.89229771,26,2,0,2,0,0,0,Mimosoid
Acacia_cultriformis,Acacia,20800000000000,2530000000000,13,1,NA,NA,NA,1,25.79163463,-25.79163463,26,2,0,2,0,0,0,Mimosoid
Acacia_dealbata,Acacia,14500000000000,4610000000000,28,1,NA,NA,NA,6,35.13929898,-35.13929898,26,2,0,2,0,0,0,Mimosoid
Acacia_deanei,Acacia,0,3160000000000,0,1,NA,NA,NA,1,16.73557126,-16.73557126,26,2,0,2,0,0,0,Mimosoid
Acacia_decurrens,Acacia,10000000000000,6400000000000,19,1,NA,NA,NA,4,17.04729784,-17.04729784,26,2,0,2,0,0,0,Mimosoid
Acacia_elata,Acacia,9680000000000,3560000000000,11,1,NA,NA,NA,1,29.35867544,-29.35867544,26,2,0,2,0,0,0,Mimosoid
Acacia_elongata,Acacia,0,802000000000,0,1,NA,NA,NA,0,32.17021086,-32.17021086,26,2,0,2,0,0,0,Mimosoid
Acacia_falciformis,Acacia,268000000000,2760000000000,2,1,NA,NA,NA,2,26.81043334,-26.81043334,26,2,0,2,0,0,0,Mimosoid
Acacia_galpinii,Acacia,0,6240000000000,0,1,NA,NA,NA,0,20.01409488,-20.01409488,40,3,1,3,1,0,1,Mimosoid
Acacia_gerrardii,Acacia,0,15000000000000,0,1,NA,NA,NA,0,16.42384857,-16.42384857,52,4,1,4,1,0,1,Mimosoid
Acacia_glaucoptera,Acacia,0,2530000000000,0,1,NA,NA,NA,0,25.46607155,-25.46607155,26,2,0,2,0,0,0,Mimosoid
Acacia_greggii,Acacia,2060000000000,2280000000000,1,0,NA,NA,NA,1,27.19501114,27.19501114,26,2,0,2,0,0,0,Mimosoid
Acacia_hockii,Acacia,0,17500000000000,0,1,NA,NA,NA,0,11.67782942,11.67782942,52,4,1,4,1,0,1,Mimosoid
Acacia_irrorata,Acacia,268000000000,2760000000000,2,1,NA,NA,NA,1,26.80239184,-26.80239184,26,2,0,2,0,0,0,Mimosoid
Acacia_karroo,Acacia,8220000000000,6520000000000,10,1,NA,NA,NA,7,24.27751659,-24.27751659,52,4,1,4,1,0,1,Mimosoid
Acacia_kirkii,Acacia,0,9130000000000,0,1,NA,NA,NA,0,3.778323,3.778323,52,4,1,4,1,0,1,Mimosoid
Acacia_koa,Acacia,85081230499,16858731371,2,1,NA,NA,NA,0,20.26898313,20.26898313,26,2,0,2,0,0,0,Mimosoid
Acacia_leiocalyx,Acacia,0,2530000000000,0,1,NA,NA,NA,0,25.79163463,-25.79163463,26,2,0,2,0,0,0,Mimosoid
Acacia_leucoclada,Acacia,0,2530000000000,0,1,NA,NA,NA,0,25.79163463,-25.79163463,26,2,0,2,0,0,0,Mimosoid
Acacia_ligulata,Acacia,0,7620000000000,0,1,NA,NA,NA,1,25.55398159,-25.55398159,26,2,0,2,0,0,0,Mimosoid
Acacia_longifolia,Acacia,20500000000000,3810000000000,20,1,NA,NA,NA,1,34.81475557,-34.81475557,26,2,0,2,0,0,0,Mimosoid
Acacia_mearnsii,Acacia,17800000000000,6750000000000,34,1,NA,1,1,5,25.13916559,-25.13916559,26,2,0,2,0,0,0,Mimosoid
Acacia_melanoxylon,Acacia,17100000000000,6340000000000,26,1,NA,1,1,4,34.37437305,-34.37437305,26,2,0,2,0,0,0,Mimosoid
